time,a1,a2,v1,v2,initial_a1,initial_a2
20.25,-0.116027,0.089724,0.934002,-3.34642,-0.00333333,1.01
20.375,0.00545769,-0.343225,0.772427,-2.52947,-0.00333333,1.01
20.5,0.074054,-0.522057,0.367525,-0.49158,-0.00333333,1.01
20.625,0.101538,-0.4832,0.0677287,1.11621,-0.00333333,1.01
20.75,0.084565,-0.223772,-0.388269,3.20121,-0.00333333,1.01
20.875,0.0144009,0.266625,-0.471726,3.50453,-0.00333333,1.01
21,-0.0121367,0.554503,-0.00535194,1.28348,-0.00333333,1.01
21.125,0.00511691,0.612832,0.271794,-0.327455,-0.00333333,1.01
21.25,0.0583272,0.462292,0.612197,-2.2004,-0.00333333,1.01
21.375,0.162711,0.0507532,0.906836,-3.70547,-0.00333333,1.01
21.5,0.240615,-0.266528,0.362535,-1.44054,-0.00333333,1.01
21.625,0.262546,-0.342966,0.00436774,0.160079,-0.00333333,1.01
21.75,0.240911,-0.224222,-0.373486,1.81888,-0.00333333,1.01
21.875,0.160281,0.142887,-0.884396,3.88869,-0.00333333,1.01
22,0.0710105,0.521721,-0.481271,1.87364,-0.00333333,1.01
22.125,0.0315358,0.640051,-0.175757,0.11076,-0.00333333,1.01
22.25,0.0259504,0.554567,0.101054,-1.52032,-0.00333333,1.01
22.375,0.0656508,0.230795,0.571695,-3.78244,-0.00333333,1.01
22.5,0.132691,-0.229926,0.299991,-2.70799,-0.00333333,1.01
22.625,0.141221,-0.439889,-0.123211,-0.784625,-0.00333333,1.01
22.75,0.106212,-0.438027,-0.439947,0.836176,-0.00333333,1.01
22.875,0.0250515,-0.20676,-0.900422,3.01835,-0.00333333,1.01
23,-0.0959789,0.210296,-0.796668,2.59267,-0.00333333,1.01
23.125,-0.165478,0.397051,-0.35659,0.551624,-0.00333333,1.01
23.25,-0.189659,0.366525,-0.0274768,-1.03875,-0.00333333,1.01
23.375,-0.166581,0.119738,0.439789,-3.05698,-0.00333333,1.01
23.5,-0.0913831,-0.340247,0.522344,-3.24957,-0.00333333,1.01
23.625,-0.0551192,-0.603513,0.103014,-1.11888,-0.00333333,1.01
23.75,-0.0587537,-0.642677,-0.154186,0.47251,-0.00333333,1.01
23.875,-0.0966283,-0.474941,-0.484565,2.32564,-0.00333333,1.01
24,-0.182275,-0.0589349,-0.727486,3.62436,-0.00333333,1.01
24.125,-0.238881,0.254945,-0.200328,1.46199,-0.00333333,1.01
24.25,-0.240668,0.335198,0.157424,-0.133742,-0.00333333,1.01
24.375,-0.198337,0.215988,0.54498,-1.86754,-0.00333333,1.01
24.5,-0.0984305,-0.15134,0.961215,-3.58409,-0.00333333,1.01
24.625,-0.00497414,-0.470675,0.520223,-1.43543,-0.00333333,1.01
24.75,0.0395593,-0.538893,0.208574,0.279551,-0.00333333,1.01
24.875,0.046174,-0.400023,-0.12692,2.01438,-0.00333333,1.01
25,-0.000408792,-0.00961821,-0.576031,4.01909,-0.00333333,1.01
25.125,-0.0484377,0.387622,-0.135154,2.06137,-0.00333333,1.01
25.25,-0.0422912,0.530764,0.207633,0.307171,-0.00333333,1.01
25.375,0.00213995,0.466326,0.517905,-1.39694,-0.00333333,1.01
25.5,0.0945377,0.15504,0.949259,-3.50551,-0.00333333,1.01
25.625,0.194311,-0.20831,0.547182,-1.84989,-0.00333333,1.01
